"Name","Date","Time","Location","Date"
"Jr Swine Show","8/10/2024","07:30","Swine Barn","Saturday, August 10, 2024"
"Open Beef Cattle Show","8/10/2024","08:00","Livestock Center","Saturday, August 10, 2024"
"Jr Sheep Show","8/10/2024","08:00","Sheep Barn","Saturday, August 10, 2024"
"Jr Beef Cattle Show","8/10/2024","08:30","Jr Livestock Building","Saturday, August 10, 2024"
"RoboCars (Sensory Hrs)","8/10/2024","09:00","Central & Main","Saturday, August 10, 2024"
"Open Meat Goat Show","8/10/2024","09:00","Goat Barn","Saturday, August 10, 2024"
"AKC Dog Agility","8/10/2024","09:00","Coliseum","Saturday, August 10, 2024"
"Cutest Show on Earth (Sensory Hrs)","8/10/2024","09:30","Adventure Village Stage","Saturday, August 10, 2024"
"Jr Rabbit Show","8/10/2024","09:30","Sale Barn 26","Saturday, August 10, 2024"
"Everyone Belongs in Nature Passport (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Be a Climate Action Hero! (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Cicada Art Work (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Eagle Nest Photo Opportunity (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Archery Range (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Youth BB Gun Range (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Rock Climbing Wall (10a-6:30p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Birds, Bugs and Bee-yond! (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Dogs That Help (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Mines, Minerals, Oil & Gas (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Water Resources (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Threatened and Endangered Species (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"Illinois State Parks (10a-7p)","8/10/2024","10:00","Conservation World","Saturday, August 10, 2024"
"ABC AmTryke Presentation","8/10/2024","10:00","Expo Bldg Stage","Saturday, August 10, 2024"
"Open Meat Goat Show","8/10/2024","10:00","Goat Barn","Saturday, August 10, 2024"
"Silent Dance Party (Sensory Hrs)","8/10/2024","10:00","Grand Central Stage","Saturday, August 10, 2024"
"Artisan Market (10a-5p)","8/10/2024","10:00","IL Dept of Ag Tent","Saturday, August 10, 2024"
"Fleming Academy Music School","8/10/2024","10:00","Illinois Building","Saturday, August 10, 2024"
"Jump! The Ultimate Dog Show (Sensory Hrs)","8/10/2024","10:00","Thrillville","Saturday, August 10, 2024"
"Illinois Reads","8/10/2024","10:00","Secretary of State Tent","Saturday, August 10, 2024"
"Fishing Pond - Fishing Clinics","8/10/2024","10:30","Conservation World","Saturday, August 10, 2024"
"American Chemical Society / IL Chapter","8/10/2024","10:30","Conservation World","Saturday, August 10, 2024"
"Sky High Balloon Guy (Sensory Hrs)","8/10/2024","10:30","Happy Hollow","Saturday, August 10, 2024"
"Everyone Belongs in Nature Passport (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Be a Climate Action Hero! (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Cicada Art Work (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Eagle Nest Photo Opportunity (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Archery Range (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Youth BB Gun Range (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Rock Climbing Wall (10a-6:30p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Birds, Bugs and Bee-yond! (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Dogs That Help (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Mines, Minerals, Oil & Gas (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Water Resources (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Threatened and Endangered Species (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Illinois State Parks (10a-7p)","8/10/2024","11:00","Conservation World","Saturday, August 10, 2024"
"Silent Dance Party (Sensory Hrs)","8/10/2024","11:00","Grand Central Stage","Saturday, August 10, 2024"
"Harness Racing","8/10/2024","11:00","Grandstand","Saturday, August 10, 2024"
